,uci_cleveland,framingham,kaggle_cvd70k,statlog
uci_cleveland,0.7783931391472187,0.6765414815633658,0.6271145982918677,0.788361111111111
framingham,0.6554373574311283,0.7489425146297818,0.7045574773549775,0.6505861111111111
kaggle_cvd70k,0.5974315669415685,0.6637586664617,0.7963133975707823,0.6004111111111111
statlog,0.7748354974556939,0.6672924842302351,0.6130731230328549,0.7989972222222221
