schema,cohort,prevalence,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,net_benefit_at_0.10,net_benefit_at_0.20,nb_positive_up_to
L1,hungarian,0.3605,extra,weighted + recalibrated,0.6419,0.2191,0.0639,0.0766,0.198,-0.435,0.28,0.2151,0.55
L1,hungarian,0.3605,hgb,unweighted,0.6398,0.2449,0.155,0.1776,0.284,-0.359,0.2593,0.1973,0.51
L1,hungarian,0.3605,hgb,weighted,0.641,0.2576,0.1631,0.1801,0.285,-0.493,0.2638,0.2032,0.46
L1,hungarian,0.3605,hgb,weighted + recalibrated,0.6067,0.2254,0.0391,0.0722,0.185,-0.455,0.2861,0.1896,0.45
L1,kaggle_cvd70k,0.4947,logreg,unweighted,0.7899,0.1875,0.0324,0.0357,0.998,-0.0,0.4385,0.3762,0.6
L1,kaggle_cvd70k,0.4947,logreg,weighted,0.7899,0.1875,0.0321,0.036,0.998,-0.021,0.4385,0.3762,0.6
L1,kaggle_cvd70k,0.4947,logreg,weighted + recalibrated,0.7893,0.1858,0.0015,0.0046,0.993,-0.0,0.4387,0.3772,0.6
L1,kaggle_cvd70k,0.4947,dtree,unweighted,0.793,0.1833,0.0057,0.0071,0.97,-0.002,0.439,0.3773,0.6
L1,kaggle_cvd70k,0.4947,dtree,weighted,0.7929,0.1834,0.0051,0.0068,0.97,-0.021,0.439,0.3776,0.6
L1,kaggle_cvd70k,0.4947,dtree,weighted + recalibrated,0.7923,0.1834,0.0022,0.0037,1.002,-0.009,0.439,0.3772,0.6
L1,kaggle_cvd70k,0.4947,rf,unweighted,0.799,0.1814,0.0075,0.0101,1.034,0.002,0.4393,0.38,0.6
L1,kaggle_cvd70k,0.4947,rf,weighted,0.799,0.1814,0.0081,0.0087,1.035,-0.018,0.4392,0.38,0.6
L1,kaggle_cvd70k,0.4947,rf,weighted + recalibrated,0.7983,0.1815,0.0022,0.0035,0.99,-0.001,0.4394,0.38,0.6
L1,kaggle_cvd70k,0.4947,extra,unweighted,0.7943,0.1907,0.075,0.0751,1.605,0.029,0.4385,0.3714,0.6
L1,kaggle_cvd70k,0.4947,extra,weighted,0.7944,0.1907,0.0759,0.0759,1.604,-0.003,0.4385,0.3712,0.6
